Affinity  , Usage     , #elements , time                
3         , 1.000000  , 8192      , 257.448975          
3         , 1.000000  , 8192      , 260.679199          
3         , 1.000000  , 8192      , 253.021973          
3         , 1.000000  , 8192      , 262.942139          
3         , 1.000000  , 8192      , 257.754639          
3         , 1.000000  , 8192      , 268.339355          
3         , 1.000000  , 8192      , 263.743652          
3         , 1.000000  , 8192      , 255.402832          
3         , 1.000000  , 8192      , 259.896240          
3         , 1.000000  , 8192      , 260.013184          
3         , 1.000000  , 8192      , 259.540283          
3         , 1.000000  , 8192      , 262.851562          
3         , 1.000000  , 8192      , 262.531006          
3         , 1.000000  , 8192      , 255.283203          
3         , 1.000000  , 8192      , 261.491943          
3         , 1.000000  , 8192      , 259.273193          
3         , 1.000000  , 8192      , 268.277100          
3         , 1.000000  , 8192      , 265.178955          
3         , 1.000000  , 8192      , 263.964111          
4         , 1.000000  , 8192      , 322.785156          
4         , 1.000000  , 8192      , 326.160889          
4         , 1.000000  , 8192      , 331.077637          
4         , 1.000000  , 8192      , 329.155273          
4         , 1.000000  , 8192      , 323.767822          
4         , 1.000000  , 8192      , 334.932617          
4         , 1.000000  , 8192      , 329.849365          
4         , 1.000000  , 8192      , 333.104004          
4         , 1.000000  , 8192      , 323.406982          
4         , 1.000000  , 8192      , 317.286133          
4         , 1.000000  , 8192      , 330.112305          
4         , 1.000000  , 8192      , 327.849365          
4         , 1.000000  , 8192      , 318.416260          
4         , 1.000000  , 8192      , 328.223877          
4         , 1.000000  , 8192      , 317.563232          
4         , 1.000000  , 8192      , 324.191162          
4         , 1.000000  , 8192      , 333.954834          
4         , 1.000000  , 8192      , 326.648926          
4         , 1.000000  , 8192      , 323.006104          
4         , 1.000000  , 8192      , 320.232910          
4         , 1.000000  , 8192      , 324.090088          
4         , 1.000000  , 8192      , 320.331543          
4         , 1.000000  , 8192      , 322.271973          
4         , 1.000000  , 8192      , 323.963867          
4         , 1.000000  , 8192      , 336.559570          
1         , 1.000000  , 16384     , 347.043701          
1         , 1.000000  , 16384     , 343.927734          
1         , 1.000000  , 16384     , 338.799805          
1         , 1.000000  , 16384     , 336.759033          
1         , 1.000000  , 16384     , 331.668213          
1         , 1.000000  , 16384     , 335.210938          
1         , 1.000000  , 16384     , 341.263184          
1         , 1.000000  , 16384     , 341.927246          
1         , 1.000000  , 16384     , 344.231934          
1         , 1.000000  , 16384     , 337.708252          
1         , 1.000000  , 16384     , 338.305908          
1         , 1.000000  , 16384     , 337.814697          
1         , 1.000000  , 16384     , 337.852295          
1         , 1.000000  , 16384     , 331.982422          
1         , 1.000000  , 16384     , 339.025879          
1         , 1.000000  , 16384     , 335.947021          
1         , 1.000000  , 16384     , 344.744873          
1         , 1.000000  , 16384     , 338.387451          
1         , 1.000000  , 16384     , 338.498047          
1         , 1.000000  , 16384     , 342.097900          
1         , 1.000000  , 16384     , 335.858887          
1         , 1.000000  , 16384     , 341.823242          
1         , 1.000000  , 16384     , 341.582764          
1         , 1.000000  , 16384     , 341.451904          
1         , 1.000000  , 16384     , 337.533936          
2         , 1.000000  , 16384     , 265.708252          
2         , 1.000000  , 16384     , 266.267090          
2         , 1.000000  , 16384     , 266.178223          
2         , 1.000000  , 16384     , 265.984863          
2         , 1.000000  , 16384     , 267.568848          
2         , 1.000000  , 16384     , 267.160889          
2         , 1.000000  , 16384     , 267.469971          
2         , 1.000000  , 16384     , 267.854980          
2         , 1.000000  , 16384     , 258.362793          
2         , 1.000000  , 16384     , 268.125000          
2         , 1.000000  , 16384     , 257.764160          
2         , 1.000000  , 16384     , 268.494141          
2         , 1.000000  , 16384     , 267.100098          
2         , 1.000000  , 16384     , 269.593994          
2         , 1.000000  , 16384     , 262.748047          
2         , 1.000000  , 16384     , 267.917725          
2         , 1.000000  , 16384     , 265.966064          
2         , 1.000000  , 16384     , 268.725830          
2         , 1.000000  , 16384     , 261.265137          
