Affinity  , # nodes   , time                
3         , 131072    , 44.100830           
3         , 131072    , 44.691162           
3         , 131072    , 45.984863           
3         , 131072    , 43.643066           
3         , 131072    , 45.707764           
4         , 131072    , 61.122803           
4         , 131072    , 61.166016           
4         , 131072    , 62.864014           
4         , 131072    , 62.963135           
4         , 131072    , 64.562256           
4         , 131072    , 64.565918           
4         , 131072    , 61.997314           
4         , 131072    , 60.730957           
4         , 131072    , 62.739014           
4         , 131072    , 61.254883           
4         , 131072    , 62.034180           
4         , 131072    , 63.354980           
4         , 131072    , 59.800293           
4         , 131072    , 62.282959           
4         , 131072    , 61.686035           
4         , 131072    , 63.759033           
4         , 131072    , 61.740967           
4         , 131072    , 63.538086           
4         , 131072    , 62.945068           
4         , 131072    , 64.879883           
4         , 131072    , 65.091797           
4         , 131072    , 64.212891           
4         , 131072    , 62.875000           
4         , 131072    , 64.472900           
4         , 131072    , 64.315918           
1         , 261444    , 23.589844           
1         , 261444    , 23.971924           
1         , 261444    , 22.662109           
1         , 261444    , 22.980957           
1         , 261444    , 23.562988           
1         , 261444    , 25.016113           
1         , 261444    , 24.350830           
1         , 261444    , 23.309082           
1         , 261444    , 24.568115           
1         , 261444    , 23.607910           
1         , 261444    , 23.824951           
1         , 261444    , 23.503906           
1         , 261444    , 24.679932           
1         , 261444    , 23.314941           
1         , 261444    , 25.354980           
1         , 261444    , 24.707031           
1         , 261444    , 24.630859           
1         , 261444    , 24.743652           
1         , 261444    , 24.755859           
1         , 261444    , 25.170898           
1         , 261444    , 25.808838           
1         , 261444    , 26.137695           
1         , 261444    , 27.070068           
1         , 261444    , 25.544922           
1         , 261444    , 27.021729           
2         , 261444    , 42.994873           
2         , 261444    , 43.239258           
2         , 261444    , 41.430908           
2         , 261444    , 39.631836           
2         , 261444    , 42.666016           
2         , 261444    , 37.551025           
2         , 261444    , 39.226074           
2         , 261444    , 40.163086           
2         , 261444    , 36.739014           
2         , 261444    , 38.067139           
2         , 261444    , 38.218018           
2         , 261444    , 38.369873           
2         , 261444    , 38.528076           
2         , 261444    , 36.639160           
2         , 261444    , 37.872070           
2         , 261444    , 38.939941           
2         , 261444    , 38.747070           
2         , 261444    , 37.334961           
2         , 261444    , 37.452148           
2         , 261444    , 37.181152           
2         , 261444    , 36.450928           
2         , 261444    , 36.242920           
2         , 261444    , 36.520020           
2         , 261444    , 37.270996           
2         , 261444    , 37.420898           
3         , 261444    , 52.984131           
3         , 261444    , 54.226318           
3         , 261444    , 53.431885           
3         , 261444    , 54.375000           
3         , 261444    , 54.236084           
3         , 261444    , 54.220215           
3         , 261444    , 54.442871           
3         , 261444    , 58.223877           
3         , 261444    , 56.245117           
3         , 261444    , 57.837891           
3         , 261444    , 55.170166           
3         , 261444    , 56.763916           
3         , 261444    , 57.014893           
3         , 261444    , 54.939941           
3         , 261444    , 56.812012           
3         , 261444    , 56.279785           
3         , 261444    , 55.083984           
3         , 261444    , 55.940918           
3         , 261444    , 57.843018           
3         , 261444    , 60.613037           
3         , 261444    , 57.158936           
3         , 261444    , 57.072754           
3         , 261444    , 57.643066           
3         , 261444    , 56.916016           
3         , 261444    , 56.685059           
4         , 261444    , 75.480957           
4         , 261444    , 75.043945           
4         , 261444    , 76.085938           
4         , 261444    , 76.863037           
4         , 261444    , 74.064941           
4         , 261444    , 75.883789           
4         , 261444    , 75.271973           
4         , 261444    , 77.193848           
4         , 261444    , 77.302002           
4         , 261444    , 75.895996           
4         , 261444    , 77.838135           
4         , 261444    , 76.786865           
4         , 261444    , 79.997803           
4         , 261444    , 74.193848           
4         , 261444    , 74.660156           
4         , 261444    , 77.342041           
4         , 261444    , 75.209961           
4         , 261444    , 78.085205           
4         , 261444    , 77.378174           
4         , 261444    , 73.753906           
4         , 261444    , 75.693115           
4         , 261444    , 71.661865           
4         , 261444    , 69.888184           
4         , 261444    , 73.270996           
4         , 261444    , 72.698975           
1         , 524288    , 33.337891           
