Size N    , Utilization U       , Affinity A, BlockNum B, ThreadsNum T        , Random X  , time (ms)           
32        , 1.000000            , 1         , 7         , 32                  , 1         , 6.031113            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 5.800945            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 5.807257            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 5.766159            
32        , 1.000000            , 1         , 7         , 32                  , 1         , 6.280920            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 7.369045            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 6.544710            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 7.489994            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 7.612026            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 8.152971            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 7.952921            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 7.293882            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 8.013935            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 6.524176            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 6.380976            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 11.209911           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 4.897099            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 7.215044            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 6.034149            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 6.091761            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 6.752867            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 6.045755            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 10.556028           
32        , 1.000000            , 1         , 8         , 32                  , 1         , 6.529144            
32        , 1.000000            , 1         , 8         , 32                  , 1         , 6.348118            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 8.271059            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 8.461098            
32        , 1.000000            , 1         , 9         , 32                  , 1         , 7.950964            
