Size N    , Utilization U       , Affinity A, BlockNum B, ThreadsNum T        , Random X  , time (ms)           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 13.333252           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 15.927002           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 16.803955           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 17.475342           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 16.874023           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 18.723145           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 19.187012           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 16.482910           
32        , 1.000000            , 1         , 9         , 32                  , 1         , 16.960205           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 19.454102           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 20.340088           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 17.502197           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 17.468994           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 19.716064           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 17.272949           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 14.898193           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 17.983887           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 19.764893           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 19.023193           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 18.132080           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 17.822998           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 21.497803           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 20.298096           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 14.801025           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 18.187988           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 22.555176           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 29.128906           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 26.637939           
32        , 1.000000            , 1         , 10        , 32                  , 1         , 17.012207           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 17.824219           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 16.583984           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 16.892822           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 18.687012           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 14.600098           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 21.699219           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 16.753906           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 19.172852           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 22.338867           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 28.525879           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 19.208984           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 16.359131           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 21.963867           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 16.341064           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 33.567871           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 16.553955           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 18.116943           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 33.201904           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 18.937988           
32        , 1.000000            , 1         , 11        , 32                  , 1         , 19.311035           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 34.390869           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 20.354004           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 20.994873           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 20.863037           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 23.437988           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 26.869873           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 20.003906           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 17.330078           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 25.945068           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 17.821045           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 20.437988           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 22.672852           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 18.825928           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 23.188965           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 17.695068           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 25.738037           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 17.224121           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 20.398926           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 22.504883           
32        , 1.000000            , 1         , 12        , 32                  , 1         , 19.513184           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 21.364990           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 18.334961           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 20.096924           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 18.846191           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 20.135010           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 20.935059           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 26.223145           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 21.560791           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 24.631836           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 18.688965           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 30.530029           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 19.138184           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 24.718018           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 27.787842           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 38.008301           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 21.061035           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 20.906982           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 22.357910           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 18.604004           
32        , 1.000000            , 1         , 13        , 32                  , 1         , 19.059814           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 25.690186           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 22.907959           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 23.512939           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 22.918945           
32        , 1.000000            , 1         , 14        , 32                  , 1         , 22.186035           
